ID;name;subgroup;group;type;remarks
Martin Sellner;Martin Sellner;Identitäre Bewegung;IB;Aktivist;
Mario Müller;Mario Müller;AfD Bund Mitarbeiter, Identitäre Bewegung;IB;Aktivist;Wissenschaftlicher Mitarbeiter des AfD Politikers ”Jan Wenzel Schmidt” im Bundestag”
Roland Hartwig;Roland Hartwig;AfD Bund Mitarbeiter;AFD_Mitarbeiter;Politiker;rechte Hand von AfD-Parteichefin Alice Weidel
Simone Baum;Simone Baum;Werteunion;WU;Politiker;Vorstand der Werteunion NRW
Hans-Georg Maaßen;Hans-Georg Maaßen;Werteunion;WU;Politiker;Ehemaliger Verfassungsschutz Präsident  
Michaela Schneider;Michaela Schneider;Werteunion;WU;Politiker;
Klaus Pede;Klaus Pede;Werteunion;WU;Politiker;Besitzer eines Hotels auf Rügen und Gründungsmitglied der WerteUnion
Gerrit Huy;Gerrit Huy;AfD Bundestags Fraktion;AFD_Politiker;Politiker;Bundestagsabgeordnete der AfD
Alice Weidel;Alice Weidel;AfD Baden-Württemberg, AfD Bundestags Fraktion, AfD Bundesvorstand;AFD_Politiker;Politiker;"Alice Elisabeth Weidel (* https://de.wikipedia.org/wiki/6._Februar https://de.wikipedia.org/wiki/1979 in https://de.wikipedia.org/wiki/G%C3%BCtersloh) ist eine deutsche https://de.wikipedia.org/wiki/Politiker (https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland). Bei der https://de.wikipedia.org/wiki/Bundestagswahl_2017 bildete sie mit https://de.wikipedia.org/wiki/Alexander_Gauland das https://de.wikipedia.org/wiki/Kandidat#Spitzenkandidat. Bei der https://de.wikipedia.org/wiki/Bundestagswahl_2021 kandidierte sie in gleicher Funktion gemeinsam mit https://de.wikipedia.org/wiki/Tino_Chrupalla für die https://de.wikipedia.org/wiki/Rechtspopulismus und https://de.wikipedia.org/wiki/Rechtsextremismus AfD.
Weidel war zunächst ab September 2017 gemeinsam mit Gauland und ab September 2021 gemeinsam mit Chrupalla Co-Vorsitzende der https://de.wikipedia.org/wiki/AfD-Fraktion_im_Deutschen_Bundestag. Seit Juni 2022 ist sie zudem zusammen mit Chrupalla https://de.wikipedia.org/wiki/Bundessprecher ihrer Partei. Darüber hinaus war sie von Februar 2020 bis Juli 2022 Landessprecherin der https://de.wikipedia.org/wiki/AfD_Baden-W%C3%BCrttemberg."
Petr Bystron;Petr Bystron;AfD Bundestags Fraktion;AFD_Politiker;Politiker;
Karsten Hilse;Karsten Hilse;AfD Bundestags Fraktion;AFD_Politiker;Politiker;
Martin Reichardt;Martin Reichardt;AFD Sachsen-Anhalt Partei, AfD Bundestags Fraktion;AFD_Politiker;Politiker;Er ist seit 2017 https://de.wikipedia.org/wiki/Mitglied_des_Deutschen_Bundestages. Er ist Vorsitzender des Landesverbandes https://de.wikipedia.org/wiki/AfD_Sachsen-Anhalt,
Stefan Keuter;Stefan Keuter;AfD Bundestags Fraktion;AFD_Politiker;Politiker;
Gernot Mörig;Gernot Mörig;Heimattreue Deutsche Jugend, Mörig-Clan;MC;Aktivist;"Gernot Mörig (* https://de.wikipedia.org/wiki/23._M%C3%A4rz https://de.wikipedia.org/wiki/1954 in https://de.wikipedia.org/wiki/Braunschweighttps://de.wikipedia.org/wiki/Gernot_M%C3%B6rig#cite_note-Extrusion_Brosch%C3%BCre-1) ist ein https://de.wikipedia.org/wiki/Aktivist innerhalb der https://de.wikipedia.org/wiki/Rechtsextremismus Szene. Deutschlandweit bekannt wurde der frühere https://de.wikipedia.org/wiki/Zahnarzt als Initiator eines https://de.wikipedia.org/wiki/Treffen_von_Rechtsextremisten_in_Potsdam_2023, über das im Januar 2024 breit in den Medien berichtet wurde. In den Siebzigerjahren fungierte Mörig beim https://de.wikipedia.org/wiki/Bund_Heimattreuer_Jugend (BHJ) als Bundesführer.https://de.wikipedia.org/wiki/Gernot_M%C3%B6rig#cite_note-:0-2
https://archive.is/20240125083651/https://www.faz.net/aktuell/politik/inland/geheimtreffen-initiator-moerig-wie-wagenknechts-bekannter-jahrelang-taeuschte-19464352.html#selection-4529.346-4529.351
Sein Vater Wilhelm Mörig war bei der SA und ab 1932 Mitglied in der NSDAP"
