Titel;ID;name;subgroup;type;group
;Martin Sellner;Martin Sellner;Identitäre Bewegung;Aktivist;IB
;Roland Hartwig;Roland Hartwig;AfD Bund Mitarbeiter;Politiker;AFD_Mitarbeiter
;Simone Baum;Simone Baum;Werteunion;Politiker;WU
;Gerrit Huy;Gerrit Huy;AfD Bundestags Fraktion;Politiker;AFD_Politiker
;Jürgen Elsässer;Jürgen Elsässer;Compact, Ein Prozent e.V, Identitäre Bewegung;Aktivist;Journalist
;Carlo Clemens;Carlo Clemens;AfD Fraktion Nordrhein-Westfalen, AfD Nordrhein-Westfalen Partei;Politiker;AFD_Politiker
;Dennis Hohloch;Dennis Hohloch;AfD Brandenburg Partei, AfD Fraktion Brandenburg, Rundfunkrat Berlin-Brandenburg;Politiker;AFD_Politiker
;Klaus Pede;Klaus Pede;Werteunion;Politiker;WU
;David Bendels;David Bendels;AfD Brandenburg Partei;Journalist;AFD_Politiker
;Stefan Keuter;Stefan Keuter;AfD Bundestags Fraktion;Politiker;AFD_Politiker
;Martin Reichardt;Martin Reichardt;AFD Sachsen-Anhalt Partei, AfD Bundestags Fraktion;Politiker;AFD_Politiker
;Karsten Hilse;Karsten Hilse;AfD Bundestags Fraktion;Politiker;AFD_Politiker
;Petr Bystron;Petr Bystron;AfD Bundestags Fraktion;Politiker;AFD_Politiker
;Oliver Flesch;Oliver Flesch;Social Media;Netzaktivist;PP
;Michaela Schneider;Michaela Schneider;Werteunion;Politiker;WU
;Björn Höcke;Björn Höcke;AfD Thüringen, AfD-FraktionThüringen;Politiker;AFD_Politiker
;Jeremy Fragrance;Jeremy Fragrance;Einzelperson;Influencer;PP
;Götz Kubitschek;Götz Kubitschek;Das Institut für Staatspolitik;Aktivist;PP
;Nils Hartwig;Nils Hartwig;Junge Alternative;Politiker;AFD_Politiker
;Hans-Georg Maaßen;Hans-Georg Maaßen;Werteunion;Politiker;WU
;Maximilian Krah;Maximilian Krah;AfD Bundesvorstand, EU-Parlament;;AFD_Politiker
;Mathilda Huss;Mathilda Huss;Gasthof Adlon;;PP
;Wilhelm Wilderink;Wilhelm Wilderink;Gasthof Adlon, Potsdamer CDU-Kreisvorstand;Politiker;CDU_Politiker
;Alice Weidel;Alice Weidel;AfD Baden-Württemberg, AfD Bundestags Fraktion, AfD Bundesvorstand;Politiker;AFD_Politiker
;Mario Müller;Mario Müller;AfD Bund Mitarbeiter, Identitäre Bewegung;Aktivist;IB
;Astrid Mörig;Astrid Mörig;Mörig-Clan;Aktivist;MC
;Arne Friedrich Mörig;Arne Friedrich Mörig;Mörig-Clan;Aktivist;MC
;Gernot Mörig;Gernot Mörig;Heimattreue Deutsche Jugend, Mörig-Clan;Aktivist;MC
;Tim Krause;Tim Krause;AfD Brandenburg Partei;Politiker;AFD_Politiker
;Ulrich Siegmund;Ulrich Siegmund;AFD Sachsen-Anhalt Partei, AfD Sachsen-Anhalt Fraktion;Politiker;AFD_Politiker
;Ulrich Vosgerau;Ulrich Vosgerau;CDU-Mitglied;Jurist;CDU_Politiker
;Silke Schröder;Silke Schröder;Verein Deutsche Sprache;Immobilienunternehmerin;PP
;Henning Pless;Henning Pless;Heilpraktiker;Influencer;PP
;Peter Feist;Peter Feist;Compact;Autor;Journalist
